StudentKey,Student #,Section,Intro to Course and Syllabus Quiz (out of 100),Intro to Course and Syllabus Quiz Due Date,Intro Assignment (out of 100),Intro Assignment Due Date,Master Word Template (out of 115),Master Word Template Due Date,Letterhead Template (out of 170),Letterhead Template Due Date,Resume Assignment (out of 110),Resume Assignment Due Date,Excel Crash Course Quiz (out of 100),Excel Crash Course Quiz Due Date,Mail Merge Assignment (out of 142),Mail Merge Assignment Due Date,Report Template (out of 132),Report Template Due Date,PowerPoint Template (out of 130),Powerpoint Template Due Date,Datasets and Tables Assignment (out of 100),Datasets and Tables Assignment Due Date,Summarizing and Analyzing Data Assignment (out of 100),Summarizing and Analyzing Data Assignment  Due Date,Excel Recap Assignment (out of 124),Excel Recap Assignment Due Date,Specialized Functions 1 Assignment (out of 100),Specialized Functions 1 Assignment  Due Date,Excel Model (out of 155),Excel Model Due Date,MOS Day 1 GMetrix Assignment (out of 100),MOS Day 1 GMetrix Assignment  Due Date,MOS Day 2 Additional Practice Assignment (out of 75),MOS Day 2 Additional Practice Assignment  Due Date,Word Wrap-Up Quiz (out of 100),Word Wrap-Up Quiz  Due Date,PowerPoint Wrap-Up Quiz (out of 100),PowerPoint Wrap-Up Quiz  Due Date,Excel Crash Course Assignment (out of 100),Excel Crash Course Assignment  Due Date,Formulas and Functions Assignment (out of 100),Formulas and Functions Assignment  Due date,Prelim 1 (out of 100),Prelim 1 Due Date,Excel Analysis Assignment (out of 180),Excel Analysis Assignment Due Date,Certiport Account Creation Assignment (out of 100),Certiport Account Creation Assignment  Due Date,Prelim 2 (out of 100),Prelim 2 Due Date,Final Exam (out of 100),Final Exam Due Date,Final Score,Term
143,35,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,100,"Monday, October 7, 2024",100,9-Sep-24,99.2,18-Sep-24,97.7,23-Sep-24,100,21-Oct-24,100,23-Oct-24,96.8,4-Nov-24,88,30-Oct-24,96.1,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,85,18-Sep-24,100,25-Sep-24,93,7-Oct-24,100,16-Oct-24,88,3-Oct-24,94.4,30-Oct,100,18-Nov-24,100,11/14/2024,100,12/18/2024,97.5,Fall2024
144,36,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",98.2,"Wednesday, September 4, 2024",96.4,9-Sep-24,95,"Monday, October 7, 2024",96.5,9-Sep-24,95.5,18-Sep-24,100,23-Sep-24,100,21-Oct-24,100,23-Oct-24,100,4-Nov-24,88,30-Oct-24,95.5,9-Dec-24,100,11-Nov-24,121.3,18-Nov-24,100,18-Sep-24,100,25-Sep-24,91,7-Oct-24,100,16-Oct-24,94,3-Oct-24,92.8,30-Oct,100,18-Nov-24,100,11/14/2024,100,12/18/2024,96.9,Fall2024
145,37,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",96.5,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",93.6,9-Sep-24,75,"Monday, October 7, 2024",100,9-Sep-24,97.7,18-Sep-24,100,23-Sep-24,100,21-Oct-24,100,23-Oct-24,96,4-Nov-24,88,30-Oct-24,88.4,9-Dec-24,100,11-Nov-24,105.3,18-Nov-24,90,18-Sep-24,100,25-Sep-24,90,7-Oct-24,100,16-Oct-24,72,3-Oct-24,93.3,30-Oct,100,18-Nov-24,91.8,11/14/2024,96,12/18/2024,94.17,Fall2024
146,38,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,95,"Monday, October 7, 2024",96.5,9-Sep-24,96.2,18-Sep-24,97.7,23-Sep-24,93,21-Oct-24,100,23-Oct-24,96,4-Nov-24,64,30-Oct-24,74.8,9-Dec-24,100,11-Nov-24,121.3,18-Nov-24,85,18-Sep-24,100,25-Sep-24,100,7-Oct-24,96,16-Oct-24,88,3-Oct-24,58.3,30-Oct,100,18-Nov-24,97.3,11/14/2024,92,12/18/2024,92.69,Fall2024
147,39,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",96.4,9-Sep-24,90,"Monday, October 7, 2024",96.5,9-Sep-24,100,18-Sep-24,95.4,23-Sep-24,100,21-Oct-24,100,23-Oct-24,98.4,4-Nov-24,94,30-Oct-24,95.5,9-Dec-24,100,11-Nov-24,113.3,18-Nov-24,90,18-Sep-24,100,25-Sep-24,94,7-Oct-24,86,16-Oct-24,40,3-Oct-24,96.7,30-Oct,100,18-Nov-24,100,11/14/2024,92,12/18/2024,94.62,Fall2024
148,40,FA24,88.2,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,95,"Monday, October 7, 2024",96.5,9-Sep-24,94.7,18-Sep-24,100,23-Sep-24,100,21-Oct-24,100,23-Oct-24,97.6,4-Nov-24,94,30-Oct-24,89.7,9-Dec-24,100,11-Nov-24,122.7,18-Nov-24,95,18-Sep-24,100,25-Sep-24,100,7-Oct-24,100,16-Oct-24,100,3-Oct-24,92.8,30-Oct,100,18-Nov-24,100,11/14/2024,96,12/18/2024,97.21,Fall2024
149,41,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,85,"Monday, October 7, 2024",96.5,9-Sep-24,100,18-Sep-24,100,23-Sep-24,100,21-Oct-24,100,23-Oct-24,100,4-Nov-24,100,30-Oct-24,96.8,9-Dec-24,100,11-Nov-24,117.3,18-Nov-24,85,18-Sep-24,95,25-Sep-24,96,7-Oct-24,96,16-Oct-24,88,3-Oct-24,98.3,30-Oct,100,18-Nov-24,100,11/14/2024,100,12/18/2024,94.22,Fall2024
150,42,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,100,"Monday, October 7, 2024",96.5,9-Sep-24,97.7,18-Sep-24,80.8,23-Sep-24,100,21-Oct-24,100,23-Oct-24,92.7,4-Nov-24,95,30-Oct-24,89.7,9-Dec-24,100,11-Nov-24,113.3,18-Nov-24,90,18-Sep-24,100,25-Sep-24,97,7-Oct-24,100,16-Oct-24,72,3-Oct-24,72.8,30-Oct,100,18-Nov-24,100,11/14/2024,98,12/18/2024,94.07,Fall2024
151,43,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",98.2,"Wednesday, September 4, 2024",99.1,9-Sep-24,100,"Monday, October 7, 2024",96.5,9-Sep-24,100,18-Sep-24,84.6,23-Sep-24,100,21-Oct-24,100,23-Oct-24,0,4-Nov-24,58,30-Oct-24,85.8,9-Dec-24,100,11-Nov-24,117.3,18-Nov-24,95,18-Sep-24,100,25-Sep-24,100,7-Oct-24,95,16-Oct-24,66,3-Oct-24,77.2,30-Oct,100,18-Nov-24,86.7,11/14/2024,96,12/18/2024,86.06,Fall2024
152,44,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",91.2,"Wednesday, September 4, 2024",92.7,9-Sep-24,85,"Monday, October 7, 2024",100,9-Sep-24,100,18-Sep-24,92.3,23-Sep-24,100,21-Oct-24,100,23-Oct-24,97.6,4-Nov-24,94,30-Oct-24,91,9-Dec-24,100,11-Nov-24,133.3,18-Nov-24,100,18-Sep-24,100,25-Sep-24,91,7-Oct-24,100,16-Oct-24,94,3-Oct-24,95,30-Oct,100,18-Nov-24,90,11/14/2024,96,12/18/2024,93.12,Fall2024
153,45,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",95.7,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",38.2,9-Sep-24,100,"Monday, October 7, 2024",100,9-Sep-24,96.2,18-Sep-24,100,23-Sep-24,100,21-Oct-24,100,23-Oct-24,86.3,4-Nov-24,89,30-Oct-24,0,9-Dec-24,100,11-Nov-24,118.7,18-Nov-24,85,18-Sep-24,100,25-Sep-24,97,7-Oct-24,96,16-Oct-24,77,3-Oct-24,82.2,30-Oct,100,18-Nov-24,99.7,11/14/2024,88,12/18/2024,85.17,Fall2024
154,46,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",98.8,"Wednesday, September 4, 2024",98.2,9-Sep-24,95,"Monday, October 7, 2024",95.8,9-Sep-24,100,18-Sep-24,100,23-Sep-24,100,21-Oct-24,95.9,23-Oct-24,79.8,4-Nov-24,94,30-Oct-24,92.9,9-Dec-24,100,11-Nov-24,105.3,18-Nov-24,90,18-Sep-24,100,25-Sep-24,0,7-Oct-24,100,16-Oct-24,74,3-Oct-24,92.2,30-Oct,100,18-Nov-24,79.5,11/14/2024,98,12/18/2024,88.5,Fall2024
155,47,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",0,"Wednesday, September 4, 2024",94.5,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,78,18-Sep-24,0,23-Sep-24,0,21-Oct-24,95.9,23-Oct-24,69.4,4-Nov-24,0,30-Oct-24,95.5,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,80,18-Sep-24,90,25-Sep-24,0,7-Oct-24,100,16-Oct-24,60,3-Oct-24,75.6,30-Oct,100,18-Nov-24,90.3,11/14/2024,88,12/18/2024,67.45,Fall2024
156,48,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",97.3,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,96.2,18-Sep-24,100,23-Sep-24,93,21-Oct-24,100,23-Oct-24,92.7,4-Nov-24,100,30-Oct-24,89.7,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,95,18-Sep-24,100,25-Sep-24,100,7-Oct-24,96,16-Oct-24,99,3-Oct-24,81.1,30-Oct,100,18-Nov-24,100,11/14/2024,98,12/18/2024,96.93,Fall2024
157,49,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",98.3,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",96.4,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,100,18-Sep-24,100,23-Sep-24,86,21-Oct-24,100,23-Oct-24,61.3,4-Nov-24,100,30-Oct-24,96.8,9-Dec-24,100,11-Nov-24,106.7,18-Nov-24,95,18-Sep-24,100,25-Sep-24,100,7-Oct-24,100,16-Oct-24,78,3-Oct-24,90.6,30-Oct,100,18-Nov-24,93.4,11/14/2024,92,12/18/2024,91.67,Fall2024
158,50,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",98.2,9-Sep-24,95,"Monday, October 7, 2024",96.5,9-Sep-24,99.2,18-Sep-24,100,23-Sep-24,100,21-Oct-24,95.9,23-Oct-24,86.3,4-Nov-24,88,30-Oct-24,78.1,9-Dec-24,100,11-Nov-24,110.7,18-Nov-24,95,18-Sep-24,100,25-Sep-24,91,7-Oct-24,100,16-Oct-24,77,3-Oct-24,85,30-Oct,100,18-Nov-24,91,11/14/2024,100,12/18/2024,93.13,Fall2024
159,51,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",99.4,"Wednesday, September 4, 2024",95.5,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,99.2,18-Sep-24,97.7,23-Sep-24,100,21-Oct-24,100,23-Oct-24,50.8,4-Nov-24,88,30-Oct-24,94.8,9-Dec-24,100,11-Nov-24,101.3,18-Nov-24,85,18-Sep-24,100,25-Sep-24,79,7-Oct-24,88,16-Oct-24,60,3-Oct-24,75,30-Oct,100,18-Nov-24,90.6,11/14/2024,96,12/18/2024,90.1,Fall2024
160,52,FA24,88.2,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",94.8,"Wednesday, August 28, 2024",95.9,"Wednesday, September 4, 2024",0,9-Sep-24,75,"Monday, October 7, 2024",89.4,9-Sep-24,90.9,18-Sep-24,97.7,23-Sep-24,100,21-Oct-24,93.4,23-Oct-24,72.6,4-Nov-24,89,30-Oct-24,78.7,9-Dec-24,100,11-Nov-24,109.3,18-Nov-24,85,18-Sep-24,90,25-Sep-24,85,7-Oct-24,88,16-Oct-24,60,3-Oct-24,54.4,30-Oct,100,18-Nov-24,69,11/14/2024,84,12/18/2024,82.46,Fall2024
161,53,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",98.3,"Wednesday, August 28, 2024",98.8,"Wednesday, September 4, 2024",87.3,9-Sep-24,100,"Monday, October 7, 2024",96.5,9-Sep-24,100,18-Sep-24,100,23-Sep-24,94,21-Oct-24,95.9,23-Oct-24,73.4,4-Nov-24,100,30-Oct-24,100,9-Dec-24,100,11-Nov-24,114.7,18-Nov-24,90,18-Sep-24,100,25-Sep-24,0,7-Oct-24,90,16-Oct-24,92,3-Oct-24,83.3,30-Oct,100,18-Nov-24,99.7,11/14/2024,98,12/18/2024,92.07,Fall2024
162,54,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",94.8,"Wednesday, August 28, 2024",95.9,"Wednesday, September 4, 2024",77.3,9-Sep-24,90,"Monday, October 7, 2024",100,9-Sep-24,91.7,18-Sep-24,100,23-Sep-24,82,21-Oct-24,67,23-Oct-24,53.2,4-Nov-24,0,30-Oct-24,54.8,9-Dec-24,100,11-Nov-24,118.7,18-Nov-24,85,18-Sep-24,100,25-Sep-24,94,7-Oct-24,86,16-Oct-24,84,3-Oct-24,71.1,30-Oct,100,18-Nov-24,93.7,11/14/2024,96,12/18/2024,83.98,Fall2024
163,55,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",98.3,"Wednesday, August 28, 2024",99.4,"Wednesday, September 4, 2024",100,9-Sep-24,100,"Monday, October 7, 2024",93,9-Sep-24,100,18-Sep-24,100,23-Sep-24,95,21-Oct-24,100,23-Oct-24,94.8,4-Nov-24,100,30-Oct-24,93.5,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,100,18-Sep-24,100,25-Sep-24,100,7-Oct-24,100,16-Oct-24,100,3-Oct-24,90.6,30-Oct,100,18-Nov-24,98.8,11/14/2024,98,12/18/2024,98.11,Fall2024
164,56,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",98.2,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,98.5,18-Sep-24,97.7,23-Sep-24,79,21-Oct-24,100,23-Oct-24,90.3,4-Nov-24,100,30-Oct-24,61.9,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,90,18-Sep-24,95,25-Sep-24,90,7-Oct-24,96,16-Oct-24,60,3-Oct-24,67.8,30-Oct,100,18-Nov-24,93.1,11/14/2024,96,12/18/2024,91.61,Fall2024
165,57,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",98.2,9-Sep-24,95,"Monday, October 7, 2024",96.5,9-Sep-24,98.5,18-Sep-24,100,23-Sep-24,84,21-Oct-24,93.4,23-Oct-24,81.5,4-Nov-24,82,30-Oct-24,76.1,9-Dec-24,100,11-Nov-24,113.3,18-Nov-24,85,18-Sep-24,100,25-Sep-24,97,7-Oct-24,96,16-Oct-24,92,3-Oct-24,87.2,30-Oct,100,18-Nov-24,90,11/14/2024,96,12/18/2024,93.6,Fall2024
166,58,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,93.2,18-Sep-24,100,23-Sep-24,84,21-Oct-24,0,23-Oct-24,76.6,4-Nov-24,89,30-Oct-24,96.8,9-Dec-24,100,11-Nov-24,117.3,18-Nov-24,90,18-Sep-24,100,25-Sep-24,91,7-Oct-24,100,16-Oct-24,83,3-Oct-24,87.8,30-Oct,100,18-Nov-24,89.7,11/14/2024,94,12/18/2024,90.08,Fall2024
167,59,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",97.4,"Wednesday, August 28, 2024",99.4,"Wednesday, September 4, 2024",0,9-Sep-24,75,"Monday, October 7, 2024",100,9-Sep-24,88.6,18-Sep-24,56.9,23-Sep-24,95,21-Oct-24,100,23-Oct-24,80.6,4-Nov-24,94,30-Oct-24,0,9-Dec-24,100,11-Nov-24,126.7,18-Nov-24,75,18-Sep-24,95,25-Sep-24,91,7-Oct-24,91,16-Oct-24,60,3-Oct-24,91.1,30-Oct,100,18-Nov-24,77.5,11/14/2024,67,12/18/2024,77.2,Fall2024
168,60,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",96.5,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,90,"Monday, October 7, 2024",100,9-Sep-24,93.9,18-Sep-24,100,23-Sep-24,95,21-Oct-24,100,23-Oct-24,89.5,4-Nov-24,94,30-Oct-24,94.2,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,80,18-Sep-24,100,25-Sep-24,100,7-Oct-24,91,16-Oct-24,83,3-Oct-24,92.2,30-Oct,100,18-Nov-24,89.7,11/14/2024,90,12/18/2024,95.01,Fall2024
169,61,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",97.4,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,85,"Monday, October 7, 2024",100,9-Sep-24,92.4,18-Sep-24,100,23-Sep-24,86,21-Oct-24,100,23-Oct-24,79,4-Nov-24,100,30-Oct-24,100,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,85,18-Sep-24,100,25-Sep-24,97,7-Oct-24,82,16-Oct-24,69,3-Oct-24,91.7,30-Oct,100,18-Nov-24,78.4,11/14/2024,90,12/18/2024,93.93,Fall2024
170,62,FA24,94.1,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",96.4,9-Sep-24,100,"Monday, October 7, 2024",100,9-Sep-24,98.5,18-Sep-24,100,23-Sep-24,90,21-Oct-24,100,23-Oct-24,94.4,4-Nov-24,99,30-Oct-24,96.1,9-Dec-24,100,11-Nov-24,125.3,18-Nov-24,90,18-Sep-24,95,25-Sep-24,97,7-Oct-24,91,16-Oct-24,60,3-Oct-24,82.2,30-Oct,100,18-Nov-24,92.7,11/14/2024,96,12/18/2024,94.67,Fall2024
171,63,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",100,9-Sep-24,90,"Monday, October 7, 2024",100,9-Sep-24,100,18-Sep-24,100,23-Sep-24,95,21-Oct-24,100,23-Oct-24,87.1,4-Nov-24,99,30-Oct-24,96.8,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,95,18-Sep-24,100,25-Sep-24,97,7-Oct-24,100,16-Oct-24,96,3-Oct-24,90.6,30-Oct,100,18-Nov-24,95.5,11/14/2024,96,12/18/2024,97.2,Fall2024
172,64,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",97.6,"Wednesday, September 4, 2024",88.2,9-Sep-24,80,"Monday, October 7, 2024",93,9-Sep-24,97,18-Sep-24,87.7,23-Sep-24,100,21-Oct-24,100,23-Oct-24,76.6,4-Nov-24,88,30-Oct-24,90.3,9-Dec-24,100,11-Nov-24,109.3,18-Nov-24,100,18-Sep-24,100,25-Sep-24,75,7-Oct-24,100,16-Oct-24,60,3-Oct-24,85.6,30-Oct,100,18-Nov-24,97,11/14/2024,98,12/18/2024,91.34,Fall2024
173,65,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",98.2,9-Sep-24,95,"Monday, October 7, 2024",100,9-Sep-24,98.5,18-Sep-24,97.7,23-Sep-24,86,21-Oct-24,100,23-Oct-24,73.4,4-Nov-24,88,30-Oct-24,100,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,95,18-Sep-24,100,25-Sep-24,97,7-Oct-24,96,16-Oct-24,91,3-Oct-24,90.6,30-Oct,100,18-Nov-24,96.7,11/14/2024,96,12/18/2024,95.07,Fall2024
174,66,FA24,88.2,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",91.8,9-Sep-24,95,"Monday, October 7, 2024",93,9-Sep-24,99.2,18-Sep-24,97.7,23-Sep-24,0,21-Oct-24,58.8,23-Oct-24,93.5,4-Nov-24,100,30-Oct-24,89.7,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,100,18-Sep-24,95,25-Sep-24,100,7-Oct-24,96,16-Oct-24,96,3-Oct-24,95.6,30-Oct,100,18-Nov-24,97,11/14/2024,98,12/18/2024,92.35,Fall2024
175,67,FA24,100,"Tuesday, August 27, 2024",100,"Monday, August 26, 2024",100,"Wednesday, August 28, 2024",100,"Wednesday, September 4, 2024",89.1,9-Sep-24,90,"Monday, October 7, 2024",100,9-Sep-24,100,18-Sep-24,100,23-Sep-24,86,21-Oct-24,100,23-Oct-24,91.9,4-Nov-24,100,30-Oct-24,83.9,9-Dec-24,100,11-Nov-24,129.3,18-Nov-24,95,18-Sep-24,95,25-Sep-24,88,7-Oct-24,100,16-Oct-24,90,3-Oct-24,83.3,30-Oct,100,18-Nov-24,100,11/14/2024,100,12/18/2024,95.5,Fall2024
176,1,SP25,100,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",94.8,"Monday, January 27, 2025",94.1,"Wednesday, January 29, 2025",100,3-Feb,95,"Monday, March 3, 2025",95.8,3-Feb,87.9,12-Feb,74.6,19-Feb-25,95,17-Mar-25,100,19-Mar-25,97.6,7-Apr-25,0,26-Mar-25,98.7,5-May-25,100,14-Apr-25,121.3,21-Apr-25,100,12-Feb-24,95,24-Feb-25,97,9-Mar-25,86,12-Mar-25,90,3/4/2025,100,3/26/2025,100,4/21/2025,99,4/15/2025,98,5/11/2025,89.03,Spring2025
177,2,SP25,94.1,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",94.8,"Monday, January 27, 2025",98.2,"Wednesday, January 29, 2025",88.2,3-Feb,95,"Monday, March 3, 2025",100,3-Feb,85.6,12-Feb,85.4,19-Feb-25,86,17-Mar-25,100,19-Mar-25,90.3,7-Apr-25,94,26-Mar-25,93.5,5-May-25,100,14-Apr-25,122.7,21-Apr-25,90,12-Feb-24,90,24-Feb-25,96,9-Mar-25,100,12-Mar-25,74,3/4/2025,92.2,3/26/2025,100,4/21/2025,78,4/15/2025,90,5/11/2025,89.49,Spring2025
178,3,SP25,94.1,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",94.8,"Monday, January 27, 2025",98.2,"Wednesday, January 29, 2025",96.4,3-Feb,100,"Monday, March 3, 2025",99.3,3-Feb,97.7,12-Feb,96.2,19-Feb-25,100,17-Mar-25,100,19-Mar-25,0,7-Apr-25,77,26-Mar-25,0,5-May-25,100,14-Apr-25,117.3,21-Apr-25,90,12-Feb-24,100,24-Feb-25,58,9-Mar-25,100,12-Mar-25,75,3/4/2025,66.9,3/26/2025,100,4/21/2025,89,4/15/2025,94,5/11/2025,83.44,Spring2025
179,4,SP25,100,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",95.7,"Monday, January 27, 2025",95.3,"Wednesday, January 29, 2025",95.5,3-Feb,95,"Monday, March 3, 2025",96.5,3-Feb,37.9,12-Feb,62.3,19-Feb-25,78,17-Mar-25,0,19-Mar-25,0,7-Apr-25,0,26-Mar-25,0,5-May-25,100,14-Apr-25,108,21-Apr-25,95,12-Feb-24,95,24-Feb-25,88,9-Mar-25,0,12-Mar-25,60,3/4/2025,58.3,3/26/2025,100,4/21/2025,86,4/15/2025,70,5/11/2025,62.07,Spring2025
180,5,SP25,100,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",98.3,"Monday, January 27, 2025",98.8,"Wednesday, January 29, 2025",97.3,3-Feb,95,"Monday, March 3, 2025",100,3-Feb,93.9,12-Feb,97.7,19-Feb-25,100,17-Mar-25,95.9,19-Mar-25,91.9,7-Apr-25,90,26-Mar-25,98.1,5-May-25,100,14-Apr-25,114.7,21-Apr-25,95,12-Feb-24,100,24-Feb-25,97,9-Mar-25,100,12-Mar-25,100,3/4/2025,87.2,3/26/2025,100,4/21/2025,95,4/15/2025,98,5/11/2025,96.32,Spring2025
181,6,SP25,100,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",96.5,"Monday, January 27, 2025",97.6,"Wednesday, January 29, 2025",95.5,3-Feb,90,"Monday, March 3, 2025",96.5,3-Feb,97.7,12-Feb,86.2,19-Feb-25,93,17-Mar-25,95.9,19-Mar-25,95.2,7-Apr-25,94,26-Mar-25,96.8,5-May-25,100,14-Apr-25,112,21-Apr-25,95,12-Feb-24,100,24-Feb-25,100,9-Mar-25,82,12-Mar-25,85,3/4/2025,92.2,3/26/2025,100,4/21/2025,95,4/15/2025,98,5/11/2025,91.53,Spring2025
182,7,SP25,100,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",67,"Monday, January 27, 2025",84.7,"Wednesday, January 29, 2025",95.5,3-Feb,100,"Monday, March 3, 2025",96.5,3-Feb,97,12-Feb,92.3,19-Feb-25,83,17-Mar-25,91.8,19-Mar-25,71,7-Apr-25,0,26-Mar-25,62.6,5-May-25,100,14-Apr-25,129.3,21-Apr-25,90,12-Feb-24,100,24-Feb-25,0,9-Mar-25,82,12-Mar-25,82,3/4/2025,0,3/26/2025,100,4/21/2025,79,4/15/2025,86,5/11/2025,73.83,Spring2025
183,8,SP25,88.2,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",98.3,"Monday, January 27, 2025",97.1,"Wednesday, January 29, 2025",98.2,3-Feb,90,"Monday, March 3, 2025",85.9,3-Feb,90.2,12-Feb,97.7,19-Feb-25,92,17-Mar-25,95.9,19-Mar-25,96,7-Apr-25,94,26-Mar-25,78.7,5-May-25,100,14-Apr-25,129.3,21-Apr-25,80,12-Feb-24,100,24-Feb-25,97,9-Mar-25,90,12-Mar-25,70,3/4/2025,91.1,3/26/2025,100,4/21/2025,93.7,4/15/2025,100,5/11/2025,91.74,Spring2025
184,9,SP25,100,"Friday, January 24, 2025",100,"Wednesday, January 22, 2025",93.9,"Monday, January 27, 2025",91.8,"Wednesday, January 29, 2025",98.2,3-Feb,85,"Monday, March 3, 2025",96.5,3-Feb,91.7,12-Feb,93.8,19-Feb-25,90,17-Mar-25,100,19-Mar-25,0,7-Apr-25,83,26-Mar-25,71.6,5-May-25,100,14-Apr-25,118.7,21-Apr-25,90,12-Feb-24,95,24-Feb-25,91,9-Mar-25,83,12-Mar-25,82,3/4/2025,95.6,3/26/2025,100,4/21/2025,99.7,4/15/2025,96,5/11/2025,85.31,Spring2025
